key,en,es,pt_BR,pl
MENU_OPTIONS_WINDOWED,Windowed,Ventana,Janela,Okno
MENU_LABEL_NO,No,No,Não,Nie
MENU_LABEL_YES,Yes,Sí,Sim,Tak
MENU_LABEL_OKAY,Okay,Ok,Ok,Ok
INPUT_KEY_MOUSE1,Left Mouse Button,Botón izquierdo del ratón,Botão esquerdo do mouse,Lewy przycisk myszy
INPUT_KEY_MOUSE2,Right Mouse Button,Botón derecho del ratón,Botão direito do mouse,Prawy przycisk myszy
INPUT_KEY_MOUSE3,Middle Mouse Button,Botón central del ratón,Botão do meio do mouse,Środkowy przycisk myszy
INPUT_KEY_SHIFT,{direction} Shift,Shift de la {direction},{direction} Shift,[{direction}]
INPUT_KEY_SPACEBAR,Space,Espacio,Espaço,Spacja
INPUT_KEY_ESCAPE,ESC,Escape,Esc,Escape
INPUT_KEY_CONTROL,{direction} Ctrl,Ctrl de la {direction},{direction} Ctrl,{direction} control
INPUT_KEY_ALT,{direction} Alt/Option,Alt/Opción de la {direction},{direction} Alt/Opção,{direction} alt
DIRECTION_LEFT,Left,Izquierda,Esquerda,Lewy
DIRECTION_RIGHT,Right,Derecha,Direita,Prawy
GAME_INVENTORY_ITEM,Item,Objeto,Item,Przedmiot
GAME_INVENTORY_DROP,Drop,Soltar,Largar,Upuść
GAME_INVENTORY_YOU_CANNOT_CARRY_ANY_MORE,You cannot carry any more.,No puedes llevar nada más.,Você não pode carregar mais nada.,Nie możesz nieść więcej.
BLACK,Black,Negro,Preto,Czarny
WHITE,White,Blanco,Branco,Biały
SILVER,Silver,Gris,Cinza,Srebrny
PINK,Pink,Rosado,Rosa,Różowy
RED,Red,Rojo,Vermelho,Czerwony
CRIMSON,Crimson,Carmín,Carmesim,Karmazynowy
ORANGE,Orange,Naranjo,Laranja,Pomarańczowy
BROWN,Brown,Marrón,Marrom,Brązowy
YELLOW,Yellow,Amarillo,Amarelo,Żółty
MUSTARD,Mustard,Dorado,Dourado,Musztardowy
CHARTREUSE,Chartreuse,Cartujo,Verde Oliva,Kartuzowy
GREEN,Green,Verde,Verde,Zielony
LIME,Lime,Lima,Verde Limão,Limonkowy
CYAN,Cyan,Cian,Ciano,Cyjanowy
LIGHT_BLUE,Aqua,Cerúleo,Azul Celeste,Błękitny
DARK_BLUE,Blue,Azul,Azul,Niebieski
VIOLET,Violet,Violeta,Violeta,Fioletowy
FUCHSIA,Magenta,Magenta,Magenta,Magenta
KINGDOM_FUNGI,Fungi,[],Fungo,[]
CLADE_MUSHROOM,Mushroom,[],Cogumelo,[]
CLADE_MOLD,Mold,[],Mofo,[]
CLADE_SHELF_MUSHROOM,Shelf Mushroom,[],Poliporo,[]
CLADE_LICHEN,Lichen,[],Líquen,[]
KINGDOM_FAUNA,Fauna,[],Fauna,[]
CLADE_COLONY_INSECT,Colony Insect,[],Inseto de Colônia,[]
CLADE_SPIDER,Spider,[],Aranha,[]
CLADE_FLYING_INSECT,Flying Insect,[],Inseto Voador,[]
CLADE_NONFLYING_INSECT,Insect,[],Inseto,[]
CLADE_FISH,Fish,[],Peixe,[]
CLADE_MAMMAL,Mammal,[],Mamífero,[]
CLADE_BIRD,Bird,[],Pássaro,[]
KINGDOM_FLORA,Flora,[],Flora,[]
CLADE_GRASS,Grass,[],Grama,[]
CLADE_TREE,Tree,[],Árvore,[]
CLADE_SHRUB,Shrub,[],Arbusto,[]
CLADE_FLOWER,Flower,[],Flor,[]
HUD_HEALTH,Health,Salud,Saúde,[]
HUD_HUNGER,Hunger,Hambre,Fome,[]
ITEM_JOURNAL,Journal,Cuaderno,Caderneta,Dziennik
ITEM_MAGNIFYING_GLASS,Magnifying Glass,Lupa,Lupa,Lupa
ITEM_KNIFE,Knife,Cuchillo,Faca,[]
